id,active,resourcetype,coding_code,coding_display,organization_id,practitioner_id,meta_lastupdated,_airbyte_emitted_at,rn
ebca303c-3f22-4b63-a100-72677c3b19fb,true,PractitionerRole,,,,b03daec2-4c7f-4648-9f0f-5984b125ddd2,2025-08-15T12:13:57.946+00:00,2025-08-28 07:25:56.173+00,1
5efb16d6-51fc-49a5-85ad-ad544ffd1da6,true,PractitionerRole,,,,b52068ac-07cb-4ad8-9c8f-087e3e362788,2025-08-15T12:12:08.038+00:00,2025-08-28 07:25:56.171+00,1
673aa2c3-9955-4f94-bd15-877d0ef0a8ec,true,PractitionerRole,,,,b8c458e3-fec6-438b-857f-5b5e80217465,2024-11-25T13:12:00.196+00:00,2025-08-28 07:25:56.152+00,1
e380ae9b-c366-44f3-9543-b1bd7ca21ae6,true,PractitionerRole,,,,bb7404df-e6c9-423d-ad1c-5b7aebab080d,2025-08-15T11:50:24.544+00:00,2025-08-28 07:25:56.159+00,1
2da95792-cd52-4f37-9d7a-4dec25a8047b,true,PractitionerRole,,,8223aa6f-5261-4a61-aaa3-8aa4ed324b03,be6524e7-02c8-4e55-a452-e14ccd7b333a,2024-11-22T09:43:55.307+00:00,2025-08-28 07:25:56.152+00,1
4eebb8ae-81bf-4fdd-a646-79b0dda980f7,true,PractitionerRole,,,,bf7420fa-d6cc-4273-a7cc-7e841e18677a,2025-08-15T12:10:47.335+00:00,2025-08-28 07:25:56.17+00,1
7e391bcc-82bf-4ee9-8142-e39cd804242e,true,PractitionerRole,,,,c6efa0c2-263f-415e-a9c4-23314354392a,2025-09-05T13:16:57.640+00:00,2025-09-05 16:22:48.96+00,1
c1e1a76b-91ff-49cf-8847-d6f861084eef,true,PractitionerRole,,,,c77a2624-ffe4-4f48-a9f0-a0822df327ae,2025-08-15T12:11:36.969+00:00,2025-08-28 07:25:56.171+00,1
3b02f25d-af21-4464-9536-f7b3f9215052,true,PractitionerRole,,,,cc132a26-9a4c-4399-869a-59f09850c5f7,2024-10-29T07:54:42.172+00:00,2025-08-28 07:25:56.151+00,1
d31eea33-0eb7-4702-88fe-cc310a051c99,true,PractitionerRole,,,,cde5159c-ff98-452c-bd0a-c8153e9dd779,2025-08-15T12:03:12.664+00:00,2025-08-28 07:25:56.166+00,1
e4bb4046-ce8b-4a30-8799-8c7107ef8be0,true,PractitionerRole,,,,d09a739e-8a85-4be8-bd8f-6402e2ca6d12,2025-09-05T12:22:09.964+00:00,2025-09-05 16:22:48.96+00,1
0548246a-e521-437e-a25a-cac6bd956e0f,true,PractitionerRole,,,,d7070c31-237e-43ee-bf5a-a87c09ed8053,2025-08-15T11:58:04.826+00:00,2025-08-28 07:25:56.164+00,1
085246bd-eed7-458e-8cf0-13423914e377,true,PractitionerRole,,,,da546c38-dc3e-4841-b4db-c0899c3f1389,2025-08-15T11:56:09.371+00:00,2025-08-28 07:25:56.162+00,1
2c19b1fa-1ab2-4085-bf13-3731896a410d,true,PractitionerRole,,,,db2911d0-9097-4210-9be2-31aefdca7496,2025-08-15T12:09:11.689+00:00,2025-08-28 07:25:56.169+00,1
1b234a9c-514b-4a5c-8db8-4a408f7bbae9,true,PractitionerRole,,,,e0917472-fec9-4cc2-958a-057cad4792db,2024-10-29T08:22:43.331+00:00,2025-08-28 07:25:56.151+00,1
6d02f699-1509-401c-b402-6e660027a19e,true,PractitionerRole,,,,e1220947-00e9-4d4d-8a2e-926f86f33e9a,2025-08-15T11:50:54.095+00:00,2025-08-28 07:25:56.159+00,1
3577ea34-2903-420c-9d47-dbe7a291ad29,true,PractitionerRole,,,,e435aa05-529c-4cb9-af53-ea53341de349,2025-08-15T11:49:50.383+00:00,2025-08-28 07:25:56.159+00,1
22d7001a-2f24-4cdc-892d-0aaee2af9921,true,PractitionerRole,,,,e8c80e30-178b-421a-add1-0ecb5f66c69b,2025-08-15T12:14:28.913+00:00,2025-08-28 07:25:56.174+00,1
0b6bbefb-baa3-4cc0-a509-d6beba85ce72,true,PractitionerRole,,,,eee53875-4df8-4a7c-aa80-3e9073ddd092,2025-08-15T11:57:40.360+00:00,2025-08-28 07:25:56.163+00,1
0b9a0a6c-ea28-4d6b-8079-acf1868b7cab,true,PractitionerRole,,,,f00e5595-57e6-4f20-8161-9d1a4e792ea4,2025-08-15T11:59:06.897+00:00,2025-08-28 07:25:56.164+00,1
9386bdfe-5e5b-40a6-9af7-4f5978b535b0,true,PractitionerRole,,,,fbfccae7-4cdf-443d-b144-e1b2e3c94e9d,2025-08-15T11:55:43.986+00:00,2025-08-28 07:25:56.162+00,1
